Adresse,point_rassemblement,temps d'arrivé,time,ID_equipe
CHELLALAT Mohammedia,02,06:54:00,66.34666666666668,2
Mohammedia,12,07:06:00,54.19000000000001,2
"Douar Lahjer, Ã‚Ã¯n-Harrouda",22,07:18:00,41.750000000000014,2
ECOLE JAZOULI MOHAMEDIA,22,07:18:00,41.750000000000014,2
EL FATH II MOHAMMEDIA Mohammedia,32,07:35:00,25.208333333333346,2
PHARMACIE SAMIR Mohammedia,32,07:35:00,25.208333333333346,2
RÃ©sidence BEL AIR AIN HARROUDA Casablanca,42,07:43:00,17.078333333333347,2
ANDALOUSE Mohammedia,52,07:52:00,7.89166666666668,2
( PHARMACIE NASSIM ) Mohammedia,62,07:55:00,5.05166666666668,2
