Adresse,point_rassemblement,temps d'arrivé,time,ID_equipe
BD Mohamed 6 ( Auto Route ) Casablanca,03,07:05:00,55.31166666666667,3
149 N 19 Ain Harrouda Casablanca,13,07:10:00,49.97,3
HM ( SOUK ESSALAM ) Casablanca,13,07:10:00,49.97,3
BD Chafchaouni ( RÃ©s.Al Massira Al Khadrra ) Casablanca,13,07:10:00,49.97,3
BOUSEJOUR BMCE ( TERMINUS TRAM ) Casablanca,23,07:19:00,41.04333333333333,3
H M ( CNSS ) Casablanca,33,07:27:00,33.071666666666665,3
ChargÃ©e des affaires juridiques et Assurance Casablanca,33,07:27:00,33.071666666666665,3
BD Zerktouni MarchÃ© des fleurs Casablanca,43,07:30:00,29.64333333333333,3
BD MOHAMMED ZAFZAF ( BMCI ) Casablanca,53,07:37:00,22.778333333333332,3
BD EL FIDA (pharmacie Diouri ) Casablanca,53,07:37:00,22.778333333333332,3
