Adresse,point_rassemblement,temps d'arrivé,time,ID_equipe
"Souk SalamØŒ Hay Mohammadi, Casablanca",07,06:53:00,66.88499999999999,7
"Bournazel, Casablanca",07,06:53:00,66.88499999999999,7
CUMMUNE HAY MOHAMMADI ( Grande Ceinture ) Casablanca,07,06:53:00,66.88499999999999,7
Cafe Oum Koultoum Casablanca,17,07:04:00,56.37333333333332,7
BD ZOUBIR AL OUAWAM Casablanca,17,07:04:00,56.37333333333332,7
"HFH8+RGC, Casablanca 20250",27,07:13:00,47.12333333333332,7
ECHARAF Sidi Moumen Casablanca,27,07:13:00,47.12333333333332,7
LycÃ©e al Bouhtouri Casablanca,37,07:21:00,39.03833333333332,7
Derb Saad Hay Mohammadi Casablanca,37,07:21:00,39.03833333333332,7
Hay Mohammadi Casablanca,37,07:21:00,39.03833333333332,7
"CafÃ© OBAMA., Casablanca",47,07:28:00,32.26833333333332,7
"RÃ©sidence Abir, Rue Al Adarissa, Casablanca 20250",57,07:34:00,26.413333333333316,7
"LAGROUNE, Av. Lalla Asmaa, Casablanca 20250",57,07:34:00,26.413333333333316,7
"Kissariat Hay Mohammedi, Hay Mohammadi, Casablanca",67,07:39:00,20.759999999999984,7
Chouhada N 668 Hay Mohammadi Casablanca,67,07:39:00,20.759999999999984,7
