Adresse,point_rassemblement,temps d'arrivé,time,ID_equipe
Rachidia 3 Mohammedia,01,07:19:00,41.385,1
B.D MOULAY RACHID ( EL HILAL ) Mohammedia,01,07:19:00,41.385,1
HAY REDA Mohammedia,11,07:26:00,33.961666666666666,1
BOULANGERIE SMARA Mohammedia,11,07:26:00,33.961666666666666,1
Bouznika CitÃ© SALIM 114 Mohammedia,21,07:35:00,25.45,1
RIAD ESSALAM Mohammedia,21,07:35:00,25.45,1
CHORAFAA Berd EL ALIA Mohammedia,31,07:40:00,19.705,1
Rue 31 KASSEBA Mohammedia,31,07:40:00,19.705,1
GARE Mohammedia,31,07:40:00,19.705,1
TAHA Mohammedia,41,07:45:00,14.75333333333333,1
MOSQUE MALI Mohammedia,41,07:45:00,14.75333333333333,1
Derb Chabab EL ALIA Mohammedia,41,07:45:00,14.75333333333333,1
"Bd de la RÃ©sistance, MohammÃ©dia",51,07:50:00,10.029999999999998,1
BD SABTA ( PHARMACIE CENTRE ) Mohammedia,51,07:50:00,10.029999999999998,1
